#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"244,409,946","+318,553","4,963,504","+4,668","221,427,765","+267,598","18,018,677","75,270","31,356",636.8,,,,All,,,,,,,
1,USA,"46,312,782","+17,580","756,362 ",+157,"36,052,614","+18,728","9,503,806","13,507","138,849","2,268","679,958,537","2,038,561","333,548,370 ",North America,74410,53,0.5,"28,493",,
2,India,"34,189,484","+14,641","454,743 ",+442,"33,559,649","+18,699","175,092","8,944","24,460",325,"599,771,320","429,085","1,397,790,892 ",Asia,"413,0742",10,0.3,125,,
3,Brazil,"21,729,763","+6,204","605,682 ",+113,"20,907,224","+11,338","216,857","8,318","101,285","2,823","63,776,166","297,268","214,540,859 ",South America,103543,29,0.5,"1,011",,
4,UK,"8,773,674","+39,962","139,533 ",+72,"7,142,116","+25,937","1,492,025",892,"128,357","2,041","324,387,705","4,745,719","68,353,751 ",Europe,84900,585,1,"21,828",,
5,Russia,"8,241,643","+35,660","230,600 ","+1,072","7,165,921","+22,784","845,122","2,300","56,443","1,579","202,100,000","1,384,089","146,016,577 ",Europe,186331,244,7,"5,788",,
6,Turkey,"7,851,805","+24,792","69,112 ",+195,"7,283,988","+24,403","498,705",633,"91,803",808,"94,503,478","1,104,934","85,528,653 ",Asia,"111,2381",290,2,"5,831",,
7,France,"7,125,868","+5,005","117,467 ",+4,"6,910,734","+1,115","97,667","1,049","108,853","1,794","151,204,954","2,309,777","65,463,017 ",Europe,95570,76,0.06,"1,492",,
8,Iran,"5,860,844","+9,174","125,223 ",+171,"5,416,691","+13,826","318,930","4,346","68,627","1,466","32,619,228","381,950","85,401,768 ",Asia,156823,107,2,"3,734",,
9,Argentina,"5,280,358",+540,"115,826 ",+3,"5,146,819","+1,210","17,713",736,"115,444","2,532","24,804,984","542,310","45,739,505 ",South America,93952,12,0.07,387,,
10,Spain,"4,997,732",,"87,132 ",,"4,848,432",,"62,168",435,"106,838","1,863","66,213,858","1,415,475","46,778,542 ",Europe,95371,,,"1,329",,
11,Colombia,"4,991,050","+1,369","127,067 ",+35,"4,834,893","+1,341","29,090",342,"96,737","2,463","26,525,120","514,114","51,593,800 ",South America,104062,27,0.7,564,,
12,Italy,"4,741,185","+3,725","131,826 ",+24,"4,534,584","+2,940","74,775",341,"78,568","2,185","101,049,089","1,674,519","60,345,140 ",Europe,134581,62,0.4,"1,239",,
13,Germany,"4,476,078","+11,411","95,794 ",,"4,206,400","+6,400","173,884","1,336","53,201","1,139","73,348,901","871,796","84,135,407 ",Europe,198781,136,,"2,067",,
14,Indonesia,"4,240,019",+623,"143,205 ",+29,"4,082,454","+1,037","14,360",,"15,290",516,"45,045,743","162,435","277,314,969 ",Asia,"651,9366",2,0.1,52,,
15,Mexico,"3,781,661","+4,452","286,259 ",+306,"3,141,429","+3,976","353,973","4,798","28,932","2,190","11,207,941","85,748","130,708,443 ",North America,3545712,34,2,"2,708",,
16,Poland,"2,972,927","+4,728","76,447 ",+13,"2,686,129","+2,484","210,351",430,"78,665","2,023","21,843,867","577,999","37,792,209 ",Europe,134942,125,0.3,"5,566",,
17,South Africa,"2,919,632",+300,"88,925 ",+11,"2,811,439",+261,"19,268",546,"48,428","1,475","18,364,359","304,607","60,288,622 ",Africa,216783,5,0.2,320,,
18,Ukraine,"2,769,405","+20,791","63,872 ",+386,"2,375,776","+6,081","329,757",177,"63,828","1,472","13,986,710","322,358","43,388,800 ",Europe,166793,479,9,"7,600",,
19,Philippines,"2,756,923","+5,279","41,793 ",+208,"2,654,173","+7,312","60,957","3,194","24,727",375,"22,602,470","202,727","111,492,224 ",Asia,"402,6685",47,2,547,,
20,Malaysia,"2,431,716","+5,666","28,400 ",+46,"2,327,369","+6,978","75,947",603,"73,891",863,"33,419,204","1,015,491","32,909,420 ",Asia,"141,1591",172,1,"2,308",,
21,Peru,"2,195,101",,"200,019 ",,N/A,N/A,N/A,842,"65,382","5,958","18,771,607","559,117","33,573,650 ",South America,151682,,,"8,174",,
22,Netherlands,"2,082,563","+6,290","18,314 ",+1,"1,974,996","+1,658","89,253",179,"121,188","1,066","17,988,698","1,046,791","17,184,616 ",Europe,89381,366,0.06,"5,194",,
23,Iraq,"2,046,274","+1,247","22,961 ",+24,"1,986,578","+2,139","36,735",238,"49,423",555,"15,676,909","378,636","41,403,622 ",Asia,"201,8033",30,0.6,887,,
24,Thailand,"1,850,482","+9,351","18,755 ",+56,"1,730,727","+10,098","101,000","2,432","26,424",268,"9,201,621","131,396","70,029,772 ",Asia,"383,7348",134,0.8,"1,442",,
25,Czechia,"1,729,458","+2,751","30,615 ",+3,"1,667,465",+32,"31,378",119,"161,104","2,852","39,888,876","3,715,761","10,735,049 ",Europe,63510,256,0.3,"2,923",,
26,Japan,"1,716,692",+285,"18,191 ",+8,"1,693,019",+591,"5,482",208,"13,628",144,"26,098,304","207,182","125,968,235 ",Asia,"736,9255",2,0.06,44,,
27,Canada,"1,698,123","+1,087","28,749 ",+4,"1,639,987",+906,"29,387",765,"44,481",753,"45,496,284","1,191,750","38,176,026 ",North America,"221,3281",28,0.1,770,,
28,Chile,"1,681,828","+1,811","37,669  ",+7,"1,630,613","+1,488","13,546",435,"87,000","1,949","23,146,987","1,197,381","19,331,350 ",South America,115131,94,0.4,701,,
29,Bangladesh,"1,567,692",+275,"27,823 ",+9,"1,531,327",+386,"8,542","1,382","9,396",167,"10,222,150","61,269","166,840,302 ",Asia,"1065,99616",2,0.05,51,,
30,Romania,"1,561,928","+11,725","44,679 ",+381,"1,323,707","+9,951","193,542","1,846","81,908","2,343","14,336,327","751,806","19,069,192 ",Europe,124271,615,20,"10,149",,
31,Israel,"1,323,079",+543,"8,049 ",+3,"1,303,142","+2,215","11,888",284,"141,870",863,"28,906,050","3,099,512","9,326,000 ",Asia,"71,1590",58,0.3,"1,275",,
32,Belgium,"1,312,360",,"25,846 ",,"1,200,847",,"85,667",232,"112,593","2,217","21,151,753","1,814,700","11,655,787 ",Europe,94511,,,"7,350",,
33,Pakistan,"1,268,536",+591,"28,377 ",+18,"1,216,242",+737,"23,917","1,614","5,600",125,"20,488,058","90,452","226,507,655 ",Asia,"1797,98211",3,0.08,106,,
34,Sweden,"1,165,996",,"14,956 ",,"1,134,392",+771,"16,648",29,"114,517","1,469","13,014,907","1,278,245","10,181,855 ",Europe,96811,,,"1,635",,
35,Serbia,"1,098,209","+5,733","9,509 ",+61,"964,731","+7,130","123,969",289,"126,359","1,094","6,159,689","708,729","8,691,171 ",Europe,89141,660,7,"14,264",,
36,Portugal,"1,085,138",+604,"18,133 ",+4,"1,035,693",+243,"31,312",52,"106,829","1,785","19,550,680","1,924,718","10,157,683 ",Europe,95601,59,0.4,"3,083",,
37,Cuba,"945,750","+1,319","8,167 ",,"931,780","+1,419","5,803",156,"83,565",722,"10,360,433","915,431","11,317,543 ",North America,"121,3861",117,,513,,
38,Morocco,"944,277",+201,"14,612 ",+6,"924,227",+218,"5,438",347,"25,192",390,"10,010,695","267,066","37,483,945 ",Africa,"402,5654",5,0.2,145,,
39,Kazakhstan,"928,211","+1,677","11,907 ",,"871,803","+1,863","44,501",221,"48,671",624,"11,575,012","606,941","19,071,060 ",Asia,"211,6022",88,,"2,333",,
40,Vietnam,"888,940","+4,045","21,673 ",+53,"805,978","+1,314","61,289",,"9,026",220,"42,517,091","431,703","98,486,844 ",Asia,"1114,5442",41,0.5,622,,
41,Switzerland,"862,408",,"11,194 ",,"819,087",,"32,127",100,"98,701","1,281","11,479,392","1,313,789","8,737,620 ",Europe,107811,,,"3,677",,
42,Jordan,"851,410","+1,652","10,951 ",+10,"822,520","+1,062","17,939",606,"82,374","1,060","10,743,914","1,039,473","10,335,920 ",Asia,129441,160,1.0,"1,736",,
43,Hungary,"843,825",,"30,492 ",,"793,842",,"19,491",169,"87,641","3,167","7,236,933","751,643","9,628,154 ",Europe,113161,,,"2,024",,
