#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"250,190,711","+355,815","5,058,478","+5,001","226,466,016","+274,294","18,666,217","73,207","32,097",649.0,,,,All,,,,,,,
1,USA,"47,301,461","+21,012","774,956 ",+283,"37,289,216","+19,707","9,237,289","11,458","141,786","2,323","708,749,685","2,124,474","333,611,890 ",North America,74300,63,0.8,"27,689",,
2,India,"34,345,002",+915,"460,283 ",+15,"33,730,201","+1,278","154,518","8,944","24,563",329,"611,278,853","437,179","1,398,235,375 ",Asia,"413,0382",0.7,0.01,111,,
3,Brazil,"21,862,458",,"609,112 ",,"21,054,660",,"198,686","8,318","101,880","2,838","63,776,166","297,200","214,590,323 ",South America,103523,,,926,,
4,UK,"9,272,066","+30,693","141,743 ",+155,"7,560,948","+36,976","1,569,375","1,034","135,625","2,073","338,310,440","4,948,561","68,365,420 ",Europe,74820,449,2,"22,956",,
5,Russia,"8,755,930","+41,335","245,635 ","+1,188","7,535,172","+29,201","975,123","2,300","59,964","1,682","212,400,000","1,454,609","146,018,622 ",Europe,175941,283,8,"6,678",,
6,Turkey,"8,206,375","+27,474","71,927 ",+203,"7,680,152","+30,584","454,296","1,405","95,915",841,"99,128,685","1,158,609","85,558,392 ",Asia,"101,1901",321,2,"5,310",,
7,France,"7,199,332",,"117,875 ",,"6,967,399",,"114,058","1,049","109,968","1,801","151,204,954","2,309,610","65,467,739 ",Europe,95550,,,"1,742",,
8,Iran,"5,980,260","+6,803","127,173 ",+120,"5,588,545","+14,299","264,542","3,713","69,996","1,489","35,834,817","419,430","85,437,015 ",Asia,146722,80,1,"3,096",,
9,Argentina,"5,295,260",,"116,083 ",,"5,161,372",,"17,805",603,"115,736","2,537","25,325,869","553,534","45,753,089 ",South America,93942,,,389,,
10,Spain,"5,025,639",,"87,504 ",,"4,877,922",,"60,213",386,"107,433","1,871","66,213,858","1,415,457","46,779,134 ",Europe,95351,,,"1,287",,
11,Colombia,"5,010,982",,"127,456 ",,"4,854,718",,"28,808",342,"97,090","2,470","26,997,594","523,092","51,611,571 ",South America,104052,,,558,,
12,Italy,"4,802,225","+6,764","132,365 ",+31,"4,576,167","+3,392","93,693",392,"79,583","2,194","106,904,353","1,771,634","60,342,237 ",Europe,134561,112,0.5,"1,553",,
13,Germany,"4,759,868","+26,389","97,019 ",+78,"4,355,300","+12,700","307,549","2,332","56,568","1,153","77,993,513","926,903","84,144,168 ",Europe,188671,314,0.9,"3,655",,
14,Indonesia,"4,247,721",+401,"143,534 ",+15,"4,093,208",+622,"10,979",,"15,312",517,"48,181,851","173,685","277,409,742 ",Asia,"651,9336",1,0.05,40,,
15,Mexico,"3,821,830","+3,614","289,413 ",+282,"3,184,715","+3,084","347,702","4,798","29,229","2,213","11,437,464","87,474","130,752,829 ",North America,3445211,28,2,"2,659",,
