#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"245,614,108","+351,992","4,984,401","+6,074","222,615,247","+265,286","18,014,460","75,583","31,510",639.5,,,,All,,,,,,,
1,USA,"46,505,496","+7,777","760,143 ",+211,"36,378,422","+3,233","9,366,931","13,278","139,422","2,279","692,849,999","2,077,144","333,558,957 ",North America,74390,23,0.6,"28,082",,
2,India,"34,231,161","+16,296","456,416 ",+732,"33,606,488","+16,816","168,257","8,944","24,488",327,"601,901,543","430,586","1,397,864,972 ",Asia,"413,0632",12,0.5,120,,
3,Brazil,"21,748,984",,"606,293 ",,"20,944,087",,"198,604","8,318","101,371","2,826","63,776,166","297,257","214,549,103 ",South America,103543,,,926,,
4,UK,"8,897,149","+43,941","140,041 ",+207,"7,232,313","+33,905","1,524,795",950,"130,160","2,049","325,510,859","4,762,015","68,355,696 ",Europe,84880,643,3,"22,307",,
5,Russia,"8,352,601","+36,582","233,898 ","+1,123","7,242,735","+29,151","875,968","2,300","57,203","1,602","206,300,000","1,412,850","146,016,918 ",Europe,176241,251,8,"5,999",,
6,Turkey,"7,936,007","+26,896","69,769 ",+210,"7,376,821","+30,542","489,417","1,405","92,782",816,"95,567,213","1,117,306","85,533,610 ",Asia,"111,2261",314,2,"5,722",,
7,France,"7,140,294","+6,528","117,589 ",+34,"6,925,761","+4,568","96,944","1,049","109,072","1,796","151,204,954","2,309,749","65,463,804 ",Europe,95570,100,0.5,"1,481",,
8,Iran,"5,888,100","+10,644","125,716 ",+197,"5,455,329","+12,086","307,055","4,127","68,941","1,472","32,619,228","381,924","85,407,642 ",Asia,156793,125,2,"3,595",,
9,Argentina,"5,283,000",,"115,866 ",,"5,149,181",,"17,953",633,"115,496","2,533","24,896,917","544,293","45,741,769 ",South America,93952,,,392,,
10,Spain,"5,006,675","+2,532","87,289 ",+51,"4,861,043","+1,628","58,343",421,"107,029","1,866","66,213,858","1,415,472","46,778,641 ",Europe,95361,54,1,"1,247",,
11,Colombia,"4,994,014",,"127,133 ",,"4,838,063",,"28,818",342,"96,789","2,464","26,610,010","515,730","51,596,762 ",South America,104062,,,559,,
12,Italy,"4,752,368","+4,598","131,954 ",+50,"4,545,049","+4,226","75,365",341,"78,754","2,187","102,379,323","1,696,576","60,344,656 ",Europe,134571,76,0.8,"1,249",,
13,Germany,"4,521,407","+20,386","95,894 ",+100,"4,237,100","+11,200","188,413","1,336","53,739","1,140","73,348,901","871,781","84,136,868 ",Europe,198771,242,1,"2,239",,
14,Indonesia,"4,241,809",+719,"143,299 ",+29,"4,085,775",+944,"12,735",,"15,295",517,"45,781,080","165,078","277,330,765 ",Asia,"651,9356",3,0.1,46,,
15,Mexico,"3,788,986","+4,538","286,888 ",+392,"3,153,067","+3,538","349,031","4,798","28,986","2,195","11,250,436","86,068","130,715,840 ",North America,3445612,35,3,"2,670",,
16,Poland,"2,990,509","+8,361","76,672 ",+133,"2,690,582",+464,"223,255",464,"79,131","2,029","21,984,855","581,733","37,791,984 ",Europe,134932,221,4,"5,907",,
17,South Africa,"2,920,109",,"88,987 ",,"2,812,320",,"18,802",546,"48,432","1,476","18,407,943","305,310","60,292,708 ",Africa,216783,,,312,,
18,Ukraine,"2,825,733","+22,574","65,628 ",+692,"2,401,705","+11,593","358,400",177,"65,128","1,513","14,154,508","326,236","43,387,372 ",Europe,156613,520,16,"8,260",,
19,Philippines,"2,768,849","+3,218","42,348 ",+271,"2,676,349","+6,660","50,152","3,194","24,833",380,"22,740,209","203,948","111,500,195 ",Asia,"402,6335",29,2,450,,
20,Malaysia,"2,448,372","+6,148","28,674 ",+98,"2,347,985","+7,595","71,713",562,"74,392",871,"33,791,439","1,026,731","32,911,686 ",Asia,"131,1481",187,3,"2,179",,
21,Peru,"2,197,052",,"200,118 ",,N/A,N/A,N/A,872,"65,435","5,960","18,867,422","561,929","33,576,160 ",South America,151682,,,"8,228",,
22,Netherlands,"2,100,866","+7,260","18,357 ",+17,"1,979,545","+1,367","102,964",197,"122,251","1,068","17,988,698","1,046,778","17,184,822 ",Europe,89361,422,1.0,"5,992",,
23,Iraq,"2,050,652","+1,412","23,061 ",+37,"1,993,877","+2,302","33,714",222,"49,522",557,"15,739,606","380,105","41,408,566 ",Asia,"201,7963",34,0.9,814,,
24,Thailand,"1,875,315","+8,452","18,922 ",+57,"1,758,297","+8,449","98,096","2,432","26,778",270,"14,913,135","212,951","70,030,726 ",Asia,"373,7015",121,0.8,"1,401",,
25,Czechia,"1,741,859","+6,274","30,667 ",+7,"1,669,657",+92,"41,535",166,"162,257","2,857","40,150,443","3,740,089","10,735,157 ",Europe,63500,584,0.7,"3,869",,
26,Japan,"1,717,367",+314,"18,221 ",+14,"1,694,452",+626,"4,694",184,"13,634",145,"26,238,719","208,300","125,966,129 ",Asia,"736,9135",2,0.1,37,,
27,Canada,"1,704,712",+321,"28,851 ",+10,"1,649,966",+384,"25,895",765,"44,652",756,"45,819,418","1,200,158","38,177,832 ",North America,"221,3231",8,0.3,678,,
28,Chile,"1,686,318","+1,710","37,697 ",+6,"1,634,860","+1,342","13,761",458,"87,228","1,950","23,293,371","1,204,897","19,332,246 ",South America,115131,88,0.3,712,,
29,Romania,"1,602,830","+14,950","46,015 ",+508,"1,358,530","+13,206","198,285","1,861","84,056","2,413","14,521,475","761,543","19,068,495 ",Europe,124141,784,27,"10,399",,
30,Bangladesh,"1,568,563",+306,"27,841 ",+7,"1,532,468",+288,"8,254","1,387","9,401",167,"10,282,058","61,625","166,849,261 ",Asia,"1065,99316",2,0.04,49,,
31,Belgium,"1,333,947","+5,745","25,914 ",+25,"1,209,523","+1,646","98,510",264,"114,442","2,223","21,405,101","1,836,392","11,656,062 ",Europe,94501,493,2,"8,451",,
32,Israel,"1,325,496",+433,"8,073 ",+10,"1,307,148","+1,428","10,275",234,"142,129",866,"29,182,529","3,129,158","9,326,000 ",Asia,"71,1550",46,1,"1,102",,
33,Pakistan,"1,270,322",+516,"28,405 ",+13,"1,217,935",+717,"23,982","1,487","5,608",125,"20,610,681","90,984","226,531,131 ",Asia,"1787,97511",2,0.06,106,,
34,Sweden,"1,169,530",,"14,982 ",,"1,136,157","+1,052","18,391",26,"114,860","1,471","13,154,558","1,291,917","10,182,198 ",Europe,96801,,,"1,806",,
35,Serbia,"1,118,905","+6,948","9,698 ",+64,"985,074","+6,338","124,133",277,"128,743","1,116","6,230,395","716,881","8,690,979 ",Europe,88961,799,7,"14,283",,
36,Portugal,"1,087,245",+965,"18,144  ",+3,"1,037,585",+324,"31,516",61,"107,038","1,786","19,736,210","1,943,014","10,157,522 ",Europe,95601,95,0.3,"3,103",,
37,Cuba,"948,847",+912,"8,210 ",+9,"935,732","+1,382","4,905",130,"83,839",725,"10,425,790","921,209","11,317,505 ",North America,"121,3791",81,0.8,433,,
38,Morocco,"945,201",+398,"14,647 ",+11,"925,434",+309,"5,120",347,"25,215",391,"10,044,400","267,948","37,486,335 ",Africa,"402,5594",11,0.3,137,,
39,Kazakhstan,"932,688","+1,551","12,001 ",+26,"876,699","+2,052","43,988",221,"48,903",629,"11,575,012","606,902","19,072,287 ",Asia,"201,5892",81,1,"2,306",,
40,Vietnam,"900,585","+4,411","21,856 ",+54,"812,314","+2,024","66,415",,"9,144",222,"42,517,091","431,682","98,491,625 ",Asia,"1094,5062",45,0.5,674,,
41,Switzerland,"869,041","+1,846","11,220 ",+2,"825,306","+3,094","32,515",89,"99,456","1,284","11,594,561","1,326,918","8,737,965 ",Europe,107791,211,0.2,"3,721",,
42,Jordan,"856,450","+1,692","10,983 ",+7,"826,272","+1,279","19,195",592,"82,857","1,063","10,845,863","1,049,281","10,336,473 ",Asia,129411,164,0.7,"1,857",,
43,Hungary,"855,339","+3,125","30,647 ",+36,"796,435",+607,"28,257",197,"88,839","3,183","7,320,374","760,320","9,628,020 ",Europe,113141,325,4,"2,935",,
44,Nepal,"810,880",+582,"11,380 ",+8,"789,125",+495,"10,375",,"27,187",382,"4,393,734","147,313","29,825,911 ",Asia,"372,6217",20,0.3,348,,
45,Austria,"809,086","+4,261","11,289 ",+10,"762,727","+2,391","35,070",250,"89,165","1,244","95,810,399","10,558,692","9,074,078 ",Europe,118040,470,1,"3,865",,
46,UAE,"739,566",+95,"2,135 ",+1,"733,640",+136,"3,791",,"73,606",212,"92,203,940","9,176,653","10,047,665 ",Asia,"144,7060",9,0.10,377,,
47,Greece,"728,210","+3,639","15,770 ",+63,"674,189","+2,593","38,251",387,"70,318","1,523","25,317,784","2,444,760","10,355,939 ",Europe,146570,351,6,"3,694",,
48,Tunisia,"712,013",,"25,213 ",,"685,508",,"1,292",116,"59,427","2,104","3,053,773","254,876","11,981,402 ",Africa,174754,,,108,,
49,Georgia,"703,281","+4,337","9,873 ",+42,"642,701","+3,137","50,707",,"176,745","2,481","10,045,491","2,524,579","3,979,075 ",Asia,64030,"1,090",11,"12,743",,
50,Lebanon,"638,581",,"8,465 ",,"613,770",,"16,346",200,"94,114","1,248","4,780,275","704,520","6,785,153 ",Asia,118021,,,"2,409",,
51,Guatemala,"596,417",,"14,797 ",,"574,566",,"7,054",5,"32,500",806,"2,851,620","155,390","18,351,317 ",North America,"311,2406",,,384,,
