#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"266,103,799","+413,279","5,270,527","+3,991","239,686,600","+315,858","21,146,672","86,792","34,139",676.2,,,,All,,,,,,,
1,USA,"49,961,458","+26,667","808,748 ",+140,"39,516,865","+18,754","9,635,845","13,778","149,688","2,423","760,636,842","2,278,920","333,770,690 ",North America,74130,80,0.4,"28,870",,
2,India,"34,641,406","+8,151","473,326 ",,"34,060,774","+6,918","107,306","8,944","24,755",338,"647,252,850","462,539","1,399,346,585 ",Asia,"402,9562",6,,77,,
3,Brazil,"22,143,091","+4,844","615,674 ",+68,"21,362,553","+3,201","164,864","8,318","103,128","2,867","63,776,166","297,028","214,713,983 ",South America,103493,23,0.3,768,,
4,UK,"10,464,389","+43,992","145,605 ",+54,"9,220,626","+32,495","1,098,158",895,"153,000","2,129","366,108,215","5,352,883","68,394,590 ",Europe,74700,643,0.8,"16,056",,
5,Russia,"9,801,613","+32,602","281,278 ","+1,206","8,502,406","+30,593","1,017,929","2,300","67,123","1,926","228,000,000","1,561,390","146,023,734 ",Europe,155191,223,8,"6,971",,
6,Turkey,"8,901,117","+19,357","77,830 ",+185,"8,436,712","+24,278","386,575","1,405","103,945",909,"109,449,755","1,278,130","85,632,738 ",Asia,"101,1001",226,2,"4,514",,
7,France,"7,917,264","+42,252","119,535 ",+29,"7,171,380","+3,192","626,349","2,066","120,912","1,826","167,925,512","2,564,549","65,479,543 ",Europe,85480,645,0.4,"9,566",,
8,Germany,"6,179,839","+35,983","103,604 ",+74,"5,082,500","+24,400","993,735","4,636","73,424","1,231","85,782,441","1,019,205","84,166,070 ",Europe,148121,428,0.9,"11,807",,
9,Iran,"6,134,465","+3,109","130,200 ",+76,"5,923,316","+7,117","80,949","3,249","71,727","1,522","39,093,355","457,098","85,525,133 ",Asia,146572,36,0.9,946,,
10,Argentina,"5,340,676","+1,294","116,646 ",+3,"5,201,840","+1,699","22,190",656,"116,642","2,548","26,410,553","576,813","45,787,050 ",South America,93932,28,0.07,485,,
11,Spain,"5,202,958",,"88,159 ",,"4,927,391",,"187,408",814,"111,220","1,885","66,213,858","1,415,412","46,780,614 ",Europe,95311,,,"4,006",,
12,Italy,"5,109,082","+15,021","134,195 ",+43,"4,742,887","+6,685","232,000",736,"84,679","2,224","122,335,117","2,027,599","60,334,978 ",Europe,124500,249,0.7,"3,845",,
13,Colombia,"5,081,064","+2,077","128,780 ",+47,"4,921,311","+2,692","30,973",342,"98,363","2,493","28,330,663","548,449","51,656,000 ",South America,104012,40,0.9,600,,
14,Indonesia,"4,257,685",+196,"143,867 ",+4,"4,106,292",+298,"7,526",,"15,335",518,"55,884,039","201,278","277,646,675 ",Asia,"651,9305",0.7,0.01,27,,
15,Mexico,"3,900,293","+2,841","295,154 ",+251,"3,255,802","+2,736","349,337","4,798","29,804","2,255","11,944,625","91,275","130,863,794 ",North America,3444311,22,2,"2,669",,
16,Poland,"3,671,421","+22,389","85,675 ",+45,"3,142,265","+25,390","443,481","1,969","97,160","2,267","24,870,097","658,157","37,787,471 ",Europe,104412,592,1,"11,736",,
17,Ukraine,"3,497,477","+6,622","88,280 ",+278,"3,050,659","+9,274","358,538",177,"80,664","2,036","16,076,359","370,775","43,358,808 ",Europe,124913,153,6,"8,269",,
18,South Africa,"3,031,694","+11,125","89,966 ",+1,"2,858,144","+2,670","83,584",546,"50,215","1,490","19,761,834","327,321","60,374,425 ",Africa,206713,184,0.02,"1,384",,
19,Philippines,"2,834,775",+603,"49,386 ",+156,"2,771,536","+1,047","13,853",899,"25,388",442,"24,390,103","218,433","111,659,609 ",Asia,"392,2615",5,1,124,,
20,Netherlands,"2,751,954","+23,078","19,668 ",+26,"2,158,065","+10,855","574,221",593,"160,100","1,144","19,205,114","1,117,294","17,188,954 ",Europe,68741,"1,343",2,"33,406",,
21,Malaysia,"2,658,772","+4,298","30,614 ",+40,"2,566,159","+4,927","61,999",471,"80,674",929,"38,384,583","1,164,687","32,957,005 ",Asia,"121,0771",130,1,"1,881",,
22,Peru,"2,242,646",,"201,360 ",,N/A,N/A,N/A,969,"66,693","5,988","20,511,702","609,989","33,626,370 ",South America,151672,,,"9,535",,
23,Czechia,"2,240,721","+10,967","33,665 ",+48,"1,914,329",+233,"292,727","1,018","208,685","3,135","44,283,281","4,124,239","10,737,322 ",Europe,53190,"1,021",4,"27,263",,
24,Thailand,"2,141,241","+4,704","20,942 ",+27,"2,048,815","+6,149","71,484","1,369","30,567",299,"14,913,135","212,893","70,049,814 ",Asia,"333,3455",67,0.4,"1,020",,
25,Iraq,"2,084,346",+457,"23,885 ",+12,"2,050,033",+839,"10,428",94,"50,216",575,"16,431,593","395,871","41,507,449 ",Asia,"201,7383",11,0.3,251,,
26,Belgium,"1,827,467",,"27,167 ",,"1,358,257",,"442,043",821,"156,709","2,330","25,109,681","2,153,200","11,661,562 ",Europe,64290,,,"37,906",,
27,Canada,"1,807,703","+2,633","29,768 ",+2,"1,746,964",+794,"30,971",497,"47,305",779,"49,099,908","1,284,868","38,213,959 ",North America,"211,2841",69,0.05,810,,
28,Romania,"1,786,036",+916,"57,099 ",+73,"1,701,727","+2,644","27,210",910,"93,733","2,997","16,166,181","848,416","19,054,546 ",Europe,113341,48,4,"1,428",,
29,Chile,"1,772,547","+1,927","38,501 ",+36,"1,665,361","+2,484","68,685",693,"91,604","1,990","25,950,496","1,341,100","19,350,159 ",South America,115031,100,2,"3,550",,
30,Japan,"1,727,828",+127,"18,364 ",,"1,708,638",+133,826,29,"13,721",146,"28,132,870","223,412","125,924,001 ",Asia,"736,8574",1,,7,,
31,Bangladesh,"1,577,443",+197,"28,001 ",+6,"1,542,274",+226,"7,168","1,373","9,444",168,"10,981,606","65,747","167,028,441 ",Asia,"1065,96515",1,0.04,43,,
32,Israel,"1,345,915",+423,"8,204 ",,"1,332,580",+836,"5,131",109,"144,319",880,"35,234,839","3,778,130","9,326,000 ",Asia,"71,1370",45,,550,,
33,Vietnam,"1,309,092","+14,314","26,260 ",+199,"1,009,277","+1,711","273,555","6,854","13,279",266,"69,737,261","707,366","98,587,244 ",Asia,"753,7541",145,2,"2,775",,
34,Pakistan,"1,286,825",+372,"28,767 ",+6,"1,245,606",+262,"12,452",854,"5,669",127,"22,211,141","97,846","227,000,663 ",Asia,"1767,89110",2,0.03,55,,
35,Serbia,"1,263,663","+1,244","11,917 ",+41,"1,210,147","+3,561","41,599",165,"145,463","1,372","6,881,800","792,181","8,687,151 ",Europe,77291,143,5,"4,789",,
36,Sweden,"1,212,145",,"15,136 ",,"1,161,927",+826,"35,082",43,"118,965","1,486","13,708,481","1,345,411","10,189,069 ",Europe,86731,,,"3,443",,
37,Austria,"1,198,478","+5,192","12,796 ",+43,"1,075,482","+11,998","110,200",651,"131,996","1,409","112,526,834","12,393,254","9,079,684 ",Europe,87100,572,5,"12,137",,
38,Portugal,"1,166,787","+3,786","18,537 ",+23,"1,086,887","+1,233","61,363",134,"114,906","1,826","21,858,506","2,152,638","10,154,287 ",Europe,95480,373,2,"6,043",,
39,Hungary,"1,134,869",,"35,122 ",,"910,745",,"189,002",566,"117,904","3,649","8,559,975","889,316","9,625,351 ",Europe,82741,,,"19,636",,
40,Switzerland,"1,039,730",,"11,612 ",,"870,684","+2,824","157,434",213,"118,896","1,328","12,597,593","1,440,569","8,744,872 ",Europe,87531,,,"18,003",,
41,Jordan,"975,956","+4,555","11,761 ",+46,"903,088","+3,533","61,107","1,194","94,318","1,137","12,395,866","1,197,954","10,347,534 ",Asia,118801,440,4,"5,905",,
42,Kazakhstan,"975,150",+695,"12,769 ",+15,"941,285",+597,"21,096",528,"51,063",669,"11,575,012","606,122","19,096,827 ",Asia,"201,4962",36,0.8,"1,105",,
43,Greece,"966,221","+3,526","18,595 ",+79,"876,039","+8,011","71,587",715,"93,351","1,797","38,190,109","3,689,722","10,350,402 ",Europe,115570,341,8,"6,916",,
44,Cuba,"963,090",+88,"8,309 ",+2,"954,175",+145,606,22,"85,103",734,"11,202,077","989,867","11,316,753 ",North America,"121,3621",8,0.2,54,,
45,Morocco,"950,591",+90,"14,788 ",+1,"932,920",+85,"2,883",347,"25,326",394,"10,500,927","279,770","37,534,135 ",Africa,"392,5384",2,0.03,77,,
46,Georgia,"865,293","+3,410","12,344 ",+46,"806,596","+4,732","46,353",,"217,506","3,103","11,806,621","2,967,799","3,978,242 ",Asia,53220,857,12,"11,652",,
47,Nepal,"822,592",+200,"11,541 ",+1,"804,544",+436,"6,507",107,"27,527",386,"4,662,680","156,030","29,883,259 ",Asia,"362,5896",7,0.03,218,,
48,UAE,"742,328",+50,"2,148 ",,"737,330",+75,"2,850",,"73,785",214,"102,497,410","10,187,878","10,060,722 ",Asia,"144,6840",5,,283,,
49,Slovakia,"729,475","+7,367","14,826 ",+55,"595,369","+7,652","119,280",624,"133,520","2,714","4,724,312","864,718","5,463,415 ",Europe,73691,"1,348",10,"21,832",,
50,Tunisia,"718,443",+165,"25,401 ",+3,"691,640",+118,"1,402",68,"59,896","2,118","3,198,939","266,691","11,994,909 ",Africa,174724,14,0.3,117,,
51,Bulgaria,"703,160",+706,"28,852 ",+47,"573,497",+385,"100,811",674,"102,296","4,197","6,704,606","975,386","6,873,795 ",Europe,102381,103,7,"14,666",,
52,Lebanon,"678,801","+1,654","8,775 ",+10,"634,994",,"35,032",186,"100,091","1,294","4,795,578","707,122","6,781,829 ",Asia,107731,244,1,"5,166",,
53,Belarus,"663,813","+1,757","5,162 ",+15,"652,874","+2,297","5,777",,"70,283",547,"10,525,190","1,114,379","9,444,889 ",Europe,"141,8301",186,2,612,,
54,Croatia,"631,037","+2,796","11,218 ",+68,"590,341","+4,598","29,478",310,"155,079","2,757","3,509,545","862,479","4,069,138 ",Europe,63631,687,17,"7,244",,
55,Guatemala,"619,852",+310,"15,986 ",+6,"602,717",+374,"1,149",5,"33,710",869,"3,150,263","171,326","18,387,588 ",North America,"301,1506",17,0.3,62,,
56,Azerbaijan,"596,388","+1,394","7,967 ",+20,"564,577","+1,791","23,844",,"58,074",776,"5,602,773","545,576","10,269,472 ",Asia,"171,2892",136,2,"2,322",,
57,Ireland,"594,250","+5,156","5,707 ",,"458,280","+3,918","130,263",110,"118,461","1,138","8,983,297","1,790,783","5,016,408 ",Europe,88791,"1,028",,"25,967",,
58,Sri Lanka,"567,682",+746,"14,461 ",+21,"542,326",+316,"10,895",,"26,353",671,"5,661,108","262,802","21,541,305 ",Asia,"381,4904",35,1.0,506,,
59,Costa Rica,"567,383",,"7,312 ",,"552,158",,"7,913",77,"109,949","1,417","2,715,029","526,124","5,160,438 ",North America,97062,,,"1,533",,
60,Saudi Arabia,"549,912",+35,"8,844 ",+2,"539,056",+45,"2,012",39,"15,453",249,"31,698,370","890,745","35,586,345 ",Asia,"654,0241",1.0,0.06,57,,
61,Bolivia,"542,859",+770,"19,215 ",+5,"497,115",+828,"26,529",220,"45,619","1,615","2,593,083","217,907","11,899,933 ",South America,226195,65,0.4,"2,229",,
