#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"253,778,700","+110,146","5,113,127","+2,582","229,480,669","+113,543","19,184,904","77,588","32,557",656.0,,,,All,,,,,,,
1,USA,"47,891,997",,"783,439 ",,"37,897,335",,"9,211,223","11,309","143,538","2,348","720,423,494","2,159,192","333,654,237 ",North America,74260,,,"27,607",,
2,India,"34,437,307",,"463,530 ",,"33,837,859","+11,376","135,918","8,944","24,624",331,"623,751,344","446,004","1,398,531,698 ",Asia,"413,0172",,,97,,
3,Brazil,"21,953,838",,"611,255 ",,"21,146,255",,"196,328","8,318","102,290","2,848","63,776,166","297,154","214,623,299 ",South America,103513,,,915,,
4,UK,"9,524,971",,"142,835 ",,"7,792,578",,"1,589,558",999,"139,309","2,089","344,837,715","5,043,463","68,373,198 ",Europe,74790,,,"23,248",,
5,Russia,"9,070,674","+38,823","255,386 ","+1,219","7,784,585","+29,821","1,030,703","2,300","62,119","1,749","216,300,000","1,481,304","146,019,985 ",Europe,165721,266,8,"7,059",,
6,Turkey,"8,386,542",,"73,342 ",,"7,868,409",,"444,791","1,405","97,999",857,"101,609,828","1,187,333","85,578,217 ",Asia,"101,1671",,,"5,197",,
7,France,"7,275,149",,"118,137 ",,"7,007,731",,"149,281","1,049","111,120","1,804","151,204,954","2,309,499","65,470,886 ",Europe,95540,,,"2,280",,
8,Iran,"6,031,575",,"128,042  ",,"5,683,458",,"220,075","3,533","70,577","1,498","36,829,133","430,949","85,460,513 ",Asia,146672,,,"2,575",,
9,Argentina,"5,305,151",,"116,228 ",,"5,170,876",,"18,047",606,"115,929","2,540","25,622,546","559,907","45,762,145 ",South America,93942,,,394,,
10,Spain,"5,047,156",,"87,673 ",,"4,889,801",,"69,682",394,"107,892","1,874","66,213,858","1,415,445","46,779,529 ",Europe,95341,,,"1,490",,
11,Colombia,"5,029,335",,"127,766 ",,"4,870,317",,"31,252",342,"97,424","2,475","27,349,820","529,795","51,623,419 ",South America,104042,,,605,,
12,Germany,"5,009,388",,"98,159 ",,"4,477,900","+11,900","433,329","2,828","59,529","1,166","80,348,721","954,827","84,150,009 ",Europe,178571,,,"5,149",,
13,Italy,"4,852,496",,"132,739 ",,"4,604,645",,"115,112",453,"80,419","2,200","110,356,664","1,828,905","60,340,301 ",Europe,124551,,,"1,908",,
14,Indonesia,"4,250,516",,"143,644 ",,"4,097,675",,"9,197",,"15,319",518,"49,926,840","179,934","277,472,925 ",Asia,"651,9326",,,33,,
15,Mexico,"3,844,791","+3,130","291,089 ",+217,"3,204,910","+2,133","348,792","4,798","29,398","2,226","11,591,671","88,633","130,782,419 ",North America,3444911,24,2,"2,667",,
16,Ukraine,"3,217,639","+14,490","76,705 ",+403,"2,631,240","+11,146","509,694",177,"74,183","1,768","15,225,531","351,025","43,374,518 ",Europe,135653,334,9,"11,751",,
17,Poland,"3,204,515","+14,448","78,867 ",+46,"2,802,616","+14,613","323,032","1,110","84,798","2,087","23,072,429","610,544","37,789,953 ",Europe,124792,382,1,"8,548",,
18,South Africa,"2,925,677",,"89,476 ",,"2,819,307",,"16,894",546,"48,495","1,483","18,893,899","313,179","60,329,481 ",Africa,216743,,,280,,
19,Philippines,"2,816,980","+1,900","45,581 ",+309,"2,743,297","+2,871","28,102","1,292","25,248",409,"23,471,922","210,375","111,571,931 ",Asia,"402,4485",17,3,252,,
20,Malaysia,"2,541,147",,"29,631 ",,"2,446,197",,"65,319",527,"77,163",900,"35,661,627","1,082,884","32,932,080 ",Asia,"131,1111",,,"1,983",,
21,Netherlands,"2,283,083",,"18,728 ",,"2,017,900",,"246,455",345,"132,840","1,090","18,498,260","1,076,314","17,186,682 ",Europe,89181,,,"14,340",,
22,Peru,"2,213,548",,"200,605 ",,N/A,N/A,N/A,893,"65,882","5,971","19,599,815","583,349","33,598,755 ",South America,151672,,,"8,699",,
23,Iraq,"2,068,388",,"23,483  ",,"2,023,683",,"21,222",148,"49,897",566,"16,046,391","387,098","41,453,063 ",Asia,"201,7653",,,512,,
24,Thailand,"2,018,410","+7,079","20,034 ",+47,"1,902,846","+6,917","95,530","1,997","28,818",286,"14,913,135","212,925","70,039,316 ",Asia,"353,4965",101,0.7,"1,364",,
25,Czechia,"1,890,405","+9,199","31,481 ",+50,"1,716,716","+5,411","142,208",550,"176,079","2,932","41,894,230","3,902,172","10,736,131 ",Europe,63410,857,5,"13,246",,
26,Canada,"1,746,916",,"29,324 ",,"1,692,301",,"25,291",545,"45,738",768,"47,295,997","1,238,307","38,194,089 ",North America,"221,3021",,,662,,
27,Romania,"1,739,283",,"52,836 ",,"1,568,418",,"118,029","1,743","91,242","2,772","15,411,078","808,462","19,062,218 ",Europe,113611,,,"6,192",,
28,Japan,"1,725,320",+199,"18,325 ",+2,"1,705,315",+217,"1,680",85,"13,699",145,"27,148,471","215,554","125,947,171 ",Asia,"736,8735",2,0.02,13,,
29,Chile,"1,723,728",,"37,951 ",,"1,627,965",,"57,812",591,"89,126","1,962","24,431,555","1,263,245","19,340,307 ",South America,115101,,,"2,989",,
30,Bangladesh,"1,572,278",,"27,918 ",,"1,536,303",,"8,057","1,400","9,419",167,"10,576,273","63,358","166,929,892 ",Asia,"1065,97916",,,48,,
31,Belgium,"1,484,712",,"26,321 ",,"1,242,741",,"215,650",471,"127,350","2,258","22,801,762","1,955,800","11,658,537 ",Europe,84431,,,"18,497",,
32,Israel,"1,336,882",,"8,140 ",,"1,322,917",,"5,825",153,"143,350",873,"30,392,264","3,258,875","9,326,000 ",Asia,"71,1460",,,625,,
33,Pakistan,"1,279,373",,"28,595 ",,"1,227,688",,"23,090","1,119","5,642",126,"21,352,792","94,172","226,742,421 ",Asia,"1777,92911",,,102,,
34,Serbia,"1,208,386",,"10,781 ",,"1,101,235",,"96,370",274,"139,067","1,241","6,557,604","754,679","8,689,257 ",Europe,78061,,,"11,091",,
35,Sweden,"1,182,471",,"15,051 ",,"1,146,876",+668,"20,544",37,"116,096","1,478","13,398,797","1,315,505","10,185,290 ",Europe,96771,,,"2,017",,
36,Portugal,"1,106,005",,"18,242 ",,"1,050,838",,"36,925",69,"108,901","1,796","20,283,015","1,997,133","10,156,066 ",Europe,95571,,,"3,636",,
37,Vietnam,"1,018,346",,"23,018 ",,"858,054",,"137,274","3,824","10,335",234,"64,055,676","650,083","98,534,654 ",Asia,"974,2812",,,"1,393",,
38,Cuba,"958,390",,"8,279 ",,"948,253",,"1,858",56,"84,685",732,"10,777,398","952,305","11,317,167 ",North America,"121,3671",,,164,,
39,Kazakhstan,"956,499","+1,133","12,419 ",+17,"914,098","+1,487","29,982",528,"50,122",651,"11,575,012","606,551","19,083,330 ",Asia,"201,5372",59,0.9,"1,571",,
40,Morocco,"948,157",,"14,740 ",,"929,909",,"3,508",347,"25,279",393,"10,252,410","273,340","37,507,845 ",Africa,"402,5454",,,94,,
