#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"259,633,842","+589,790","5,190,323","+6,902","234,782,141","+432,690","19,661,378","82,262","33,309",665.9,,,,All,,,,,,,
1,USA,"48,934,182","+81,598","797,593 ","+1,064","38,760,380","+46,026","9,376,209","12,229","146,638","2,390","745,922,032","2,235,259","333,707,170 ",North America,74180,245,3,"28,097",,
2,India,"34,541,349","+5,586","466,584 ",,"33,957,698","+10,949","117,067","8,944","24,692",334,"633,489,239","452,847","1,398,902,101 ",Asia,"402,9982",4,,84,,
3,Brazil,"22,043,112","+4,381","613,339 ",+99,"21,264,713","+16,731","165,060","8,318","102,686","2,857","63,776,166","297,097","214,664,519 ",South America,103503,20,0.5,769,,
4,UK,"9,974,843","+43,676","144,286 ",+149,"8,834,188","+42,873","996,369",928,"145,867","2,110","356,406,029","5,211,916","68,382,922 ",Europe,74740,639,2,"14,570",,
5,Russia,"9,434,393","+33,558","267,819 ","+1,240","8,126,376","+36,682","1,040,198","2,300","64,610","1,834","221,800,000","1,518,952","146,021,689 ",Europe,155451,230,8,"7,124",,
6,Turkey,"8,652,172","+27,592","75,618 ",+175,"8,178,520","+28,285","398,034","1,405","101,073",883,"105,529,753","1,232,781","85,602,999 ",Asia,"101,1321",322,2,"4,650",,
7,France,"7,483,282","+32,591","118,734 ",+81,"7,071,681","+9,404","292,867","1,406","114,293","1,813","161,863,693","2,472,152","65,474,821 ",Europe,95510,498,1,"4,473",,
8,Iran,"6,092,822","+4,813","129,280 ",+95,"5,819,025","+11,936","144,517","3,375","71,270","1,512","38,107,951","445,760","85,489,886 ",Asia,146612,56,1,"1,690",,
9,Germany,"5,546,915","+73,966","100,481 ",+321,"4,712,900","+32,900","733,534","3,987","65,911","1,194","81,975,529","974,075","84,157,309 ",Europe,158381,879,4,"8,716",,
10,Argentina,"5,319,867","+2,234","116,458 ",+43,"5,184,973","+1,013","18,436",594,"116,222","2,544","25,988,908","567,772","45,773,465 ",South America,93932,49,0.9,403,,
11,Spain,"5,111,842","+8,527","87,904 ",+38,"4,911,361","+1,461","112,577",562,"109,274","1,879","66,213,858","1,415,430","46,780,022 ",Europe,95321,182,0.8,"2,407",,
